quality,year,area,rooms,fireplaces,price
6,1960,1656,7,2,215.0
5,1961,896,5,0,105.0
6,1958,1329,6,0,172.0
7,1968,2110,8,2,244.0
5,1997,1629,6,1,189.9
6,1998,1604,7,1,195.5
8,2001,1338,6,0,213.5
8,1992,1280,5,0,191.5
8,1995,1616,5,1,236.5
7,1999,1804,7,1,189.0
6,1993,1655,7,1,175.9
6,1992,1187,6,0,185.0
6,1998,1465,7,1,180.4
7,1990,1341,5,1,171.5
8,1985,1502,4,0,212.0
8,2003,3279,12,1,538.0
8,1988,1752,8,0,164.0
9,2010,1856,8,1,394.432
4,1951,864,4,0,141.0
6,1978,2073,7,2,210.0
6,1977,1844,7,1,190.0
7,1974,1173,6,2,170.0
7,2000,1674,7,0,216.0
6,1970,1004,5,1,149.0
5,1971,1078,6,1,149.9
5,1968,1056,6,1,142.0
4,1970,882,4,0,126.0
4,1971,864,5,1,115.0
7,1999,1337,5,1,184.0
6,1971,987,5,0,96.0
5,1971,1092,6,0,105.5
6,1971,1092,6,0,88.0
6,1977,1069,4,1,127.5
6,1975,1456,6,1,149.9
7,1975,836,4,0,120.0
6,1978,1456,7,1,146.0
9,2009,2334,10,1,376.162
8,2007,1704,7,1,306.0
9,2009,1940,8,1,395.192
8,2009,1544,7,0,290.941
7,2005,1541,7,1,220.0
9,2005,1698,7,1,275.0
8,2005,1822,8,1,259.0
7,2004,1535,7,0,214.0
9,2009,2364,11,2,611.657
7,2009,1358,6,1,224.0
9,2003,2696,10,2,500.0
8,2002,2250,7,1,320.0
9,2005,1752,6,1,319.9
8,2006,1370,6,1,205.0
7,2003,1626,6,0,175.5
6,2005,1324,6,0,199.5
7,2006,1145,6,0,160.0
8,2004,1269,6,1,192.0
7,2004,1374,7,1,184.5
6,2002,1960,8,2,216.5
7,2004,1733,7,1,185.088
7,2000,1430,7,1,180.0
7,2001,2035,8,1,222.5
9,1999,2599,10,1,333.168
8,1998,2475,7,1,355.0
7,1996,1720,7,1,260.4
8,1994,2622,9,2,325.0
8,1999,2270,9,1,290.0
7,1998,1839,7,0,221.0
8,1995,3238,9,1,410.0
8,2005,1595,6,1,221.5
7,2009,1218,4,0,204.5
7,2009,1547,7,0,215.2
8,2008,1566,7,0,262.5
7,2004,1947,8,1,254.9
6,2005,1468,6,1,271.5
7,2004,2084,8,0,233.0
7,2004,1659,8,0,181.0
7,1994,2110,8,2,205.0
6,1980,923,5,1,143.0
6,1992,1845,8,1,189.0
6,1979,918,5,1,99.5
6,1984,752,4,0,125.0
7,1993,1744,7,0,194.5
6,1984,1097,6,0,152.0
6,1980,1564,7,1,171.0
5,1920,1012,5,0,67.5
6,1978,1902,8,0,112.0
5,1961,1155,6,0,148.0
5,1965,894,5,1,138.5
5,1967,900,5,0,122.0
5,1963,1040,5,0,133.0
5,1962,1040,6,0,127.0
6,1974,1494,7,2,169.0
7,1992,1923,8,1,190.0
8,1993,2349,9,1,362.5
8,1992,2225,7,1,285.0
7,2004,1488,6,1,260.0
7,2004,1680,3,0,190.0
7,2004,1200,4,0,155.0
7,2004,1200,4,0,151.0
7,2004,1200,4,0,149.5
6,2005,1236,4,0,152.0
7,2009,1478,7,1,222.0
6,2000,1573,5,0,177.5
6,2000,1512,5,0,177.0
7,1999,1416,6,0,155.0
7,2003,1080,4,0,147.11
8,2010,1418,6,1,267.916
8,2000,1848,7,1,254.0
8,1980,788,3,1,155.0
8,1978,1226,4,1,206.0
6,1976,1479,6,0,130.5
7,2002,1492,6,1,230.0
6,1967,1829,8,0,218.5
6,1993,2495,9,1,243.5
6,1977,1610,6,2,205.0
6,1978,1891,7,1,212.5
7,1988,1714,7,1,196.5
6,1972,1381,5,1,197.5
6,1971,1645,7,0,171.0
5,1966,1232,6,0,142.25
6,1963,1328,6,2,143.0
4,1959,1225,6,0,128.95
5,1966,1209,6,0,159.0
5,1967,1510,6,0,178.9
6,1964,1775,8,0,136.3
5,1964,1152,6,1,180.5
6,1963,1054,6,0,137.5
5,1962,1728,10,0,84.9
5,1950,1078,5,0,142.125
5,1952,2461,7,2,197.6
6,1949,1556,6,1,172.5
5,1958,858,4,0,116.5
3,1940,1306,6,0,76.5
5,1954,1063,6,0,128.0
6,1955,1520,7,2,153.0
5,1954,1268,7,1,132.0
6,1966,1128,5,1,178.0
5,1960,2274,12,0,154.3
7,1970,2207,7,1,180.0
6,1966,1888,6,1,190.0
5,1958,1604,8,0,135.0
7,2003,1480,7,0,214.0
5,1959,1143,6,0,136.0
5,1959,1700,6,1,165.5
5,1957,1314,5,0,145.0
6,1959,1194,6,0,148.0
5,1959,1188,6,0,142.0
5,1960,1264,6,2,167.5
5,1959,1206,6,0,108.538
6,1959,1580,6,2,159.5
4,1956,1337,5,0,108.0
5,1952,1064,4,0,135.0
5,1955,972,5,0,122.5
5,1958,988,5,0,119.0
5,1953,1057,5,0,109.0
4,1920,985,4,0,105.0
5,1955,827,5,1,107.5
5,1954,1086,6,0,144.9
5,1956,936,4,0,129.0
6,1948,1458,6,1,97.5
6,1980,1056,4,0,144.0
5,1959,1287,7,1,162.0
7,1967,2978,11,1,242.0
6,1948,1224,5,0,132.0
5,1959,1246,6,0,154.0
5,1952,1385,6,0,166.0
5,1951,900,5,0,134.8
6,1962,1116,5,0,160.0
5,1960,1175,6,0,148.0
6,1963,1395,7,1,192.0
6,1966,1839,7,1,155.0
4,1900,1844,9,2,80.4
4,1910,1140,7,0,96.5
5,1920,936,5,1,109.5
5,1927,1028,5,1,115.0
5,1957,1347,6,0,143.0
3,1915,1605,8,0,107.4
4,1945,747,4,0,80.0
5,1940,804,4,2,119.0
5,1929,1316,6,0,130.0
6,1938,1251,6,0,119.0
5,1948,1633,7,1,129.0
5,1920,1245,6,0,100.0
2,1923,832,5,1,12.789
6,1928,720,5,0,105.9
8,1900,1566,7,0,150.0
5,1915,1652,7,0,139.0
8,1890,2268,7,0,240.0
5,1910,2256,12,0,76.5
6,1957,1236,6,0,149.7
4,1910,1363,6,0,125.5
4,1885,2290,11,0,122.5
6,1922,1470,6,0,140.75
5,1950,1612,7,0,128.5
7,1922,2068,8,1,209.5
4,1925,765,4,0,87.0
6,1939,1132,5,0,134.0
6,1940,1196,6,2,128.0
5,1942,1453,7,2,132.0
6,1948,1416,6,0,139.9
5,1936,1040,5,0,123.9
5,1930,1536,7,1,138.4
6,1923,1068,5,1,109.5
7,1921,1710,9,0,140.0
4,1915,1962,9,1,149.5
6,1912,1560,7,0,159.9
6,1920,1324,6,0,122.0
5,1963,816,5,0,110.0
4,1930,1092,7,0,55.0
5,1900,1812,8,1,140.0
7,1940,2403,10,2,244.4
5,1959,1675,8,2,173.0
5,1917,1224,6,0,107.5
5,1915,1392,6,0,100.0
6,1940,919,5,0,95.0
4,1907,1884,7,0,93.369
5,1910,1680,7,1,114.9
5,1875,1020,6,0,94.0
4,1967,1832,8,0,136.0
4,1968,1768,8,0,136.5
5,1965,1039,6,0,131.5
5,1957,1392,5,1,121.5
5,1967,912,5,1,125.0
5,1968,1060,6,1,154.0
5,1966,892,5,0,137.9
6,1969,1352,7,0,158.0
5,1968,864,4,0,137.25
5,1978,1373,5,2,160.25
5,1968,1440,7,2,163.0
6,1978,1386,6,1,158.9
7,1996,2260,7,0,328.0
7,1977,1483,4,2,270.0
4,1927,756,4,0,85.0
4,1950,1067,4,0,128.0
7,1979,1524,4,1,260.0
6,1978,1981,8,1,230.0
3,1938,1610,8,1,124.0
5,1920,835,5,0,83.0
6,1950,1074,6,1,144.5
5,1956,1144,6,0,129.0
4,1947,1531,8,1,127.0
5,1954,1172,5,0,128.0
6,2009,1212,6,0,186.0
7,2009,1508,5,2,308.03
5,1964,1298,5,0,114.0
4,1946,930,6,0,84.9
6,1985,1732,7,1,178.0
7,1987,1433,4,2,270.0
6,1993,1802,8,1,218.0
7,1993,1949,8,1,236.0
6,1992,996,5,0,147.0
8,2008,1694,7,0,245.35
7,2006,1208,6,0,206.0
7,2009,1226,6,0,198.9
7,2010,1222,6,0,187.0
7,1990,3222,11,2,320.0
6,1900,1445,6,0,138.5
6,1971,1052,6,0,155.0
5,1996,965,4,0,159.0
7,1997,1692,8,1,191.0
6,1998,1682,7,0,200.5
5,1977,1026,5,0,150.0
6,1977,1392,6,0,161.75
5,1976,894,5,0,128.2
5,1972,876,5,0,127.0
8,2003,1978,8,1,318.0
8,2001,1601,6,1,272.0
7,2003,1829,7,1,237.0
7,1997,2098,9,1,240.0
7,1998,1661,6,0,224.9
6,2003,848,4,0,143.75
6,2004,848,3,0,143.0
8,2003,1668,8,1,232.0
7,2004,1484,7,0,213.0
7,2004,1414,6,0,185.5
3,1945,640,5,0,84.9
5,1954,992,6,0,155.891
5,1965,1664,8,0,100.0
5,1968,1196,6,0,144.0
4,1948,1120,5,0,64.0
6,1975,1096,5,1,125.2
6,1976,1117,6,1,107.0
4,1958,960,5,0,90.0
