,num_reviews
0,648
1,1
2,285
3,89
4,122
5,303
6,23
7,51
8,17
9,7
10,9
11,594
12,0
13,50
14,170
15,166
16,35
17,169
18,38
19,2
20,38
21,1
22,7
23,43
24,33
25,34
26,982
27,218
28,33
29,446
30,1
31,37
32,24
33,175
34,124
35,413
36,198
37,44
38,60
39,94
40,251
41,357
42,434
43,3
44,226
45,260
46,201
47,36
48,16
49,8
50,0
51,59
52,182
53,301
54,91
55,6
56,29
57,66
58,14
59,221
60,1
61,833
62,71
63,193
64,142
65,6
66,0
67,34
68,206
69,4
70,1
71,394
72,265
73,5
74,16
75,11
76,21
77,3
78,0
79,119
80,14
81,113
82,2
83,7
84,1
85,260
86,35
87,138
88,348
89,75
90,230
91,14
92,0
93,101
94,0
95,2
96,109
97,380
98,86
99,33
100,90
101,13
102,106
103,97
104,206
105,104
106,17
107,179
108,8
109,1
110,371
111,15
112,7
113,0
114,40
115,958
116,9
117,15
118,425
119,52
120,204
121,27
122,149
123,2
124,19
125,281
126,164
127,27
128,16
129,8
130,103
131,95
132,53
133,5
134,114
135,262
136,33
137,150
138,102
139,101
140,194
141,117
142,0
143,754
144,181
145,1
146,489
147,176
148,112
149,94
150,525
151,16
152,6
153,7
154,54
155,46
156,119
157,90
158,52
159,1
160,193
161,30
162,89
163,296
164,5
165,65
166,95
167,453
168,360
169,146
170,182
171,61
172,28
173,40
174,13
175,2
176,657
177,423
178,9
179,33
180,309
181,11
182,52
183,2
184,37
185,192
186,1
187,47
188,1
189,361
190,171
191,24
192,67
193,2
194,64
195,191
196,0
197,16
198,0
199,10
200,62
201,116
202,0
203,0
204,176
205,142
206,349
207,0
208,253
209,417
210,249
211,49
212,37
213,42
214,12
215,15
216,0
217,845
218,5
219,0
220,311
221,176
222,91
223,214
224,9
225,265
226,414
227,0
228,37
229,128
230,28
231,114
232,83
233,34
234,98
235,21
236,10
237,7
238,598
239,9
240,48
241,1
242,51
243,5
244,8
245,0
246,32
247,29
248,294
249,200
250,354
251,31
252,84
253,28
254,89
255,0
256,21
257,0
258,199
259,19
260,208
261,141
262,299
263,28
264,6
265,24
266,86
267,0
268,106
269,6
270,327
271,39
272,217
273,141
274,188
275,6
276,212
277,7
278,39
279,147
280,200
281,1
282,0
283,605
284,0
285,9
286,150
287,7
288,609
289,2
290,59
291,64
292,99
293,726
294,0
295,3
296,7
297,9
298,201
299,19
300,7
301,148
302,60
303,82
304,0
305,52
306,193
307,179
308,52
309,0
310,67
311,225
312,121
313,47
314,198
315,9
316,35
317,22
318,5
319,319
320,20
321,270
322,3
323,294
324,167
325,404
326,91
327,1
328,34
329,73
330,292
331,1113
332,178
333,4
334,87
335,300
336,577
337,52
338,12
339,6
340,132
341,255
342,0
343,298
344,0
345,3
346,253
347,238
348,85
349,45
350,11
351,0
352,2
353,301
354,1
355,149
356,232
357,0
358,286
359,5
360,372
361,72
362,0
363,6
364,267
365,0
366,2
367,30
368,10
369,262
370,6
371,0
372,65
373,88
374,82
375,8
376,3
377,8
378,138
379,6
380,41
381,249
382,100
383,54
384,417
385,7
386,27
387,175
388,1
389,196
390,48
391,16
392,20
393,191
394,0
395,82
396,56
397,97
398,0
399,6
400,1124
401,50
402,88
403,132
404,78
405,249
406,15
407,239
408,18
409,0
410,161
411,12
412,41
413,14
414,10
415,43
416,0
417,35
418,210
419,77
420,226
421,2
422,254
423,238
424,531
425,0
426,96
427,193
428,0
429,2
430,14
431,113
432,9
433,9
434,160
435,0
436,24
437,6
438,22
439,129
440,58
441,7
442,3
443,366
444,0
445,37
446,1
447,1
448,0
449,0
450,0
451,0
452,53
453,193
454,72
455,1
456,39
457,0
458,9
459,0
460,11
461,0
462,0
463,17
464,5
465,1
466,126
467,0
468,0
469,27
470,454
471,0
472,820
473,0
474,2
475,174
476,0
477,138
478,0
479,0
480,38
481,249
482,756
483,42
484,0
485,19
486,0
487,38
488,0
489,3
490,7
491,3
492,3
493,54
494,18
495,26
496,190
497,109
498,21
499,565
500,1
501,159
502,0
503,4
504,0
505,218
506,3
507,102
508,3
509,403
510,17
511,27
512,5
513,0
514,75
515,0
516,198
517,0
518,19
519,3
520,0
521,111
522,98
523,58
524,34
525,2
526,10
527,9
528,72
529,49
530,215
531,18
532,17
533,23
534,5
535,1
536,3
537,0
538,2
539,1
540,0
541,21
542,0
543,328
544,1
545,0
546,1
547,26
548,1
549,0
550,21
551,76
552,185
553,26
554,0
555,0
556,187
557,308
558,53
559,15
560,2
561,2
562,8
563,0
564,0
565,178
566,0
567,0
568,5
569,24
570,146
571,52
572,1
573,0
574,11
575,524
576,0
577,52
578,766
579,0
580,0
581,1
582,75
583,192
584,2
585,0
586,52
587,137
588,135
589,0
590,315
591,710
592,3
593,1
594,6
595,0
596,0
597,121
598,0
599,2
600,35
601,12
602,0
603,0
604,0
605,0
606,0
607,323
608,23
609,32
610,0
611,1
612,0
613,223
614,302
615,0
616,53
617,0
618,3
619,0
620,0
621,41
622,129
623,16
624,24
625,195
626,1004
627,134
628,0
629,183
630,19
631,25
632,80
633,0
634,0
635,10
636,40
637,10
638,0
639,7
640,121
641,63
642,34
643,272
644,42
645,83
646,585
647,18
648,22
649,6
650,83
651,51
652,150
653,6
654,230
655,0
656,477
657,178
658,190
659,99
