cin,x,z
388144,0,0
460221,0,0
175105,0,0
405490,0,0
360143,0,0
239148,0,0
477358,0,0
191594,0,0
401213,0,0
279768,0,0
157266,0,0
396480,0,0
469396,0,0
383239,0,0
418204,0,0
248611,0,0
271013,0,0
413645,1,0
483144,0,0
191547,0,0
336441,0,0
330548,0,0
261665,0,0
151039,0,0
405672,0,0
149953,1,0
413464,0,0
492739,0,0
192818,0,0
428873,0,0
352370,0,0
132653,0,0
254428,0,0
399914,0,0
357979,0,0
487839,0,0
273310,0,0
103770,0,0
494498,0,0
257082,0,0
128207,0,0
103407,1,1
401276,0,0
151915,0,0
263581,0,0
321571,1,1
398148,0,0
325766,0,0
423925,0,0
455513,0,0
314504,0,0
162902,0,0
346696,0,0
395544,0,0
468724,0,0
151198,0,0
222861,0,0
115278,0,0
405840,0,0
175637,0,0
430313,0,0
378531,0,0
378622,0,0
129327,0,0
498652,0,0
187704,0,0
407668,0,0
303670,0,0
453382,0,0
260854,0,0
141329,0,0
495435,0,0
342778,0,0
338539,0,0
186264,0,0
360019,0,0
248372,0,0
380478,0,0
201564,0,0
218773,0,0
171789,0,0
478160,0,0
274049,0,0
308517,0,0
418047,0,0
207223,0,0
210843,0,0
322365,0,0
289301,0,0
274739,0,0
147417,0,0
312752,0,0
495601,0,0
336193,0,0
440116,0,0
172999,0,0
263354,0,0
126453,0,0
442505,0,0
354102,0,0
395903,0,0
194558,0,0
368180,0,0
228571,0,0
335606,0,0
422337,0,0
367361,0,0
344158,0,0
242957,0,0
394478,0,0
487707,0,0
457272,0,0
305390,0,0
496502,0,0
359672,0,0
435826,0,0
123851,0,0
447602,0,0
469118,0,0
466307,0,0
446225,0,0
481270,0,0
446116,0,0
280896,0,0
278568,0,0
370961,0,0
198247,0,0
421019,0,0
465935,0,0
136600,0,0
457351,0,0
198651,0,0
300562,0,0
397424,0,0
300889,0,0
237187,0,0
228351,0,1
357947,0,0
443367,0,0
159536,0,0
443638,0,0
451862,0,0
219651,0,0
408944,1,1
416900,0,0
197846,0,0
485988,0,0
137318,0,0
405742,0,0
152948,0,0
439350,0,0
352532,0,0
176673,0,0
178094,0,0
443394,0,0
356853,0,0
139250,0,0
215574,1,1
103843,0,0
288278,0,0
385706,1,1
314977,0,0
426400,0,0
495037,0,0
342053,0,0
270017,0,0
343353,0,0
285137,0,0
391200,0,0
348197,0,0
153785,0,0
253911,0,0
327700,0,0
424348,0,0
197425,0,0
246037,0,0
348980,0,0
388861,0,0
195463,0,0
496994,0,0
300696,0,0
377868,0,0
232072,0,0
294953,0,0
301674,0,0
401040,0,0
370245,0,0
197736,0,0
263883,0,0
470367,0,0
464842,0,0
236726,0,0
155395,0,0
456695,0,0
462019,0,0
420539,0,0
469742,0,0
360716,0,0
412890,0,0
147814,0,0
238477,0,0
372990,0,0
273239,0,0
131120,0,0
162178,0,0
153893,0,0
227764,0,0
219325,0,0
138230,0,0
126522,0,0
131693,0,0
159938,0,0
147280,0,0
284474,0,0
401021,0,0
293241,0,0
250220,0,0
277430,0,0
124190,0,0
331932,0,0
263808,0,0
417909,0,0
494488,0,0
297766,0,0
307811,0,0
358663,0,0
116349,0,0
207249,0,0
358538,0,0
296026,0,0
499606,0,0
468857,0,0
299970,0,0
474699,0,0
230625,0,0
339469,0,0
113560,0,0
297564,0,0
288904,0,0
472152,0,0
266977,0,0
390570,0,0
291277,1,1
150287,0,0
204447,0,0
480947,0,0
192593,0,0
391425,0,0
198818,0,0
201063,0,0
168196,0,0
432911,1,1
383392,0,0
374443,0,0
262032,0,0
353578,0,0
432203,0,0
490048,0,0
168532,0,0
288700,0,0
315424,0,0
366621,0,0
462309,0,0
457527,0,0
359768,0,0
441588,0,0
353371,0,0
319448,0,0
412984,0,0
175858,0,0
242596,0,0
391406,0,0
151739,0,0
435452,0,0
217556,0,0
333495,0,0
360254,0,0
336981,0,0
370599,0,0
124102,0,0
259812,0,0
458375,1,1
102662,0,0
261570,0,0
303990,0,0
164037,0,0
209916,0,0
232809,0,0
251764,0,0
192327,0,0
355225,0,0
250829,0,0
155705,0,0
434994,0,0
304463,0,0
150097,0,0
283317,0,0
260774,0,0
160880,0,0
209189,0,0
306738,0,0
445600,0,0
153620,0,0
325957,0,0
220087,0,0
494334,0,0
133087,0,0
